{'10:12:29 02.07.2020': {'still_work': [], 'zero_cnt': []}}
{'10:12:40 02.07.2020': {'still_work': [], 'zero_cnt': []}}
{'10:12:50 02.07.2020': {'still_work': [], 'zero_cnt': []}}
{'10:13:00 02.07.2020': {'still_work': [], 'zero_cnt': []}}
{'10:13:10 02.07.2020': {'still_work': [], 'zero_cnt': []}}
{'10:13:20 02.07.2020': {'still_work': [], 'zero_cnt': []}}
{'10:13:30 02.07.2020': {'still_work': [], 'zero_cnt': []}}
{'10:13:40 02.07.2020': {'still_work': [], 'zero_cnt': []}}
{'10:13:50 02.07.2020': {'still_work': [], 'zero_cnt': []}}
{'10:14:00 02.07.2020': {'still_work': [], 'zero_cnt': []}}
{'10:14:10 02.07.2020': {'still_work': [], 'zero_cnt': []}}
{'10:14:20 02.07.2020': {'still_work': [], 'zero_cnt': []}}
