{'17:25:47 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'17:35:47 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'17:45:47 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'17:55:47 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'18:05:47 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'18:15:47 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'18:25:47 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'18:35:47 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'18:45:48 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'18:55:48 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'19:05:48 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'19:15:48 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'19:25:48 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'19:35:48 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'19:45:48 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'19:55:48 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'20:05:48 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'20:15:48 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'20:25:48 10.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
