{'16:45:49 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'17:23:47 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'17:33:47 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'17:43:47 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'17:53:48 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'18:03:48 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'18:13:49 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'18:23:49 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'18:33:50 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'18:43:50 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'18:53:50 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'19:03:51 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'19:13:51 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'19:23:51 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'19:33:52 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'19:43:52 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'19:53:53 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'20:03:53 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'20:13:54 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'20:23:54 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'20:33:54 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'20:43:55 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'20:53:55 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'21:03:55 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'21:13:56 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'21:23:56 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'21:33:56 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'21:43:57 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'21:53:57 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0055', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'22:03:58 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'22:13:58 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'22:23:59 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'22:33:59 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'22:44:00 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'22:54:00 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'23:04:00 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'23:14:00 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'23:24:01 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'23:34:01 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'23:44:02 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'23:54:02 20.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'00:04:03 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'00:14:03 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'00:24:03 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'00:34:04 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'00:44:04 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'00:54:05 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'01:04:05 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'01:14:05 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'01:24:06 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'01:34:06 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'01:44:06 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'01:54:07 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'02:04:07 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'02:14:08 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'02:24:08 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'02:34:09 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'02:44:09 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'02:54:09 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'03:04:10 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'03:14:10 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'03:24:11 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
{'03:34:11 21.08.2020': {'still_work': ['0001-0732-0011', '0001-0732-0005', '0001-0732-0002', '0001-0732-0004', '0001-0732-0058'], 'zero_cnt': ['0001-0732-0022']}}
